itemID,name,price,category,description,isAvailable
D08,Lobster Ravioli,27.00,Dinner,Handmade pasta in a rich vodka cream sauce,TRUE
D09,Beef Wellington,32.00,Dinner,Fillet steak wrapped in puff pastry with duxelles,TRUE
D10,Eggplant Parmesan,17.50,Dinner,Breaded eggplant layers with marinara and mozzarella,TRUE
D11,Seafood Paella,29.00,Dinner,Saffron rice with shrimp mussels and calamari,TRUE
D12,Braised Short Rib,25.00,Dinner,Red wine braised beef over creamy polenta,TRUE
D13,Chicken Piccata,19.50,Dinner,Pan-fried chicken with lemon caper butter sauce,TRUE
D14,Duck Confit,28.00,Dinner,Crispy duck leg with braised red cabbage,TRUE
D15,Prime Rib,30.00,Dinner,Slow-roasted beef served with au jus and horseradish,TRUE
D16,Vongole Linguine,22.00,Dinner,Linguine with fresh clams in a white wine sauce,TRUE
D17,Pork Belly Ramen,18.00,Dinner,Rich pork broth with marinated egg and noodles,TRUE
D18,Vegetable Lasagna,17.00,Dinner,Layers of squash spinach and ricotta cheese,TRUE
D19,Blackened Mahi Mahi,23.50,Dinner,Spicy mahi mahi served with mango salsa,TRUE
D20,Filet Mignon,34.00,Dinner,8oz center-cut beef with a red wine reduction,TRUE
S01,Garlic Butter Knots,5.50,Snack,Warm dough knots tossed in garlic and parsley,TRUE
S02,Classic Hummus Plate,7.00,Snack,Creamy chickpea hummus served with warm pita bread,TRUE
S03,Sweet Potato Fries,6.00,Snack,Crispy sweet potato fries with chipotle aioli dip,TRUE
S04,Steamed Edamame,5.00,Snack,Soybeans in the pod sprinkled with sea salt,TRUE
S05,Loaded Beef Nachos,9.00,Snack,Corn chips with seasoned beef and melted cheddar,TRUE
S06,Mozzarella Sticks,6.50,Snack,Golden fried cheese served with zesty marinara,TRUE
S07,Chicken Wings,11.00,Snack,Eight wings tossed in your choice of buffalo or BBQ,TRUE
S08,Pretzel Bites,7.50,Snack,Soft pretzel pieces served with warm beer cheese,TRUE
S09,Onion Rings,6.50,Snack,Thick-cut battered rings with spicy dipping sauce,TRUE
S10,Spinach Artichoke Dip,9.50,Snack,Creamy dip served with toasted baguette slices,TRUE
S11,Fried Calamari,12.00,Snack,Crispy squid rings with lemon and marinara,TRUE
S12,Popcorn Shrimp,10.00,Snack,Bite-sized fried shrimp with cocktail sauce,TRUE
S13,Potato Skins,8.50,Snack,Cheese and bacon filled skins with sour cream,TRUE
S14,Mac and Cheese Bites,7.50,Snack,Deep-fried macaroni and cheese nuggets,TRUE
S15,Bruschetta,8.00,Snack,Toasted bread with tomato basil and garlic,TRUE
S16,Deviled Eggs,6.50,Snack,Classic paprika-dusted eggs with a creamy center,TRUE
S17,Spring Rolls,7.00,Snack,Crispy vegetable rolls with sweet chili sauce,TRUE
S18,Tater Tot Poutine,9.00,Snack,Crispy tots topped with gravy and cheese curds,TRUE
S19,Mini Corn Dogs,6.00,Snack,Honey-battered mini franks with mustard,TRUE
S20,Chips and Salsa,5.00,Snack,House-made corn chips with mild chunky salsa,TRUE
DS01,NY Style Cheesecake,7.50,Dessert,Rich cheesecake topped with a seasonal berry compote,TRUE
DS02,Chocolate Lava Cake,8.50,Dessert,Warm dark chocolate center with vanilla bean ice cream,TRUE
DS03,Old Fashioned Apple Pie,6.50,Dessert,House-baked pie with spiced apples and a flaky crust,TRUE
DS04,Classic Tiramisu,8.00,Dessert,Espresso-soaked ladyfingers with creamy mascarpone,TRUE
DS05,Tangy Lemon Tart,7.00,Dessert,Shortbread crust filled with smooth lemon curd,TRUE
DS06,Fruit Sorbet Flight,6.00,Dessert,Three scoops of seasonal house-made fruit sorbet,TRUE
DS07,Warm Fudge Brownie,7.50,Dessert,Decadent chocolate brownie with walnuts and cream,TRUE
DS08,Creme Brulee,9.00,Dessert,Vanilla bean custard with a burnt sugar topping,TRUE
DS09,Red Velvet Cupcake,4.00,Dessert,Moist cake with a rich cream cheese frosting,TRUE
DS10,Banana Bread Pudding,8.00,Dessert,Warm pudding with caramelized bananas and rum sauce,TRUE
DS11,Carrot Cake,7.50,Dessert,Spiced cake with walnuts and ginger frosting,TRUE
DS12,Key Lime Pie,7.00,Dessert,Tart lime filling with a graham cracker crust,TRUE
DS13,Peach Cobbler,8.50,Dessert,Warm spiced peaches with a buttery biscuit topping,TRUE
DS14,Gelato Trio,7.50,Dessert,Choose three flavors of authentic Italian gelato,TRUE
DS15,Baklava,6.00,Dessert,Layers of filo pastry with honey and pistachios,TRUE
DS16,Profiteroles,8.00,Dessert,Cream puffs filled with vanilla pastry cream,TRUE
DS17,Sticky Toffee Pudding,8.50,Dessert,Date cake soaked in warm toffee sauce,TRUE
DS18,Strawberry Shortcake,7.00,Dessert,Fresh berries and whipped cream on a sweet biscuit,TRUE
DS19,Chocolate Mousse,6.50,Dessert,Light and airy dark chocolate whipped mousse,TRUE
DS20,Churros with Chocolate,7.50,Dessert,Cinnamon-sugar fried dough with dipping sauce,TRUE
